model,variant_label,grid_label,comparison,season,metric,units,period,represented_area_km2,contributing_cells,equivalent_cells,value,domain
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.4370529,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.0686712,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.9305183,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0481902,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.4900559,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,1862424.1339256,86,56.9096625,-0.0310077,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,1862424.1339256,86,56.9096625,-0.4252090,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,1862424.1339256,86,56.9096625,-0.2111585,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,1862424.1339256,86,56.9096625,-0.5386208,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,1862424.1339256,86,56.9096625,0.3549505,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,1862424.1339256,86,56.9096625,-0.4335356,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,1862424.1339256,86,56.9096625,-0.1731326,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,1862424.1339256,86,56.9096625,-0.3744436,southeast_land
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,1862424.1339256,86,56.9096625,-0.1323017,southeast_land
