model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,DJF,G6solar - G6sulfur,-0.0238074,-0.0631752,1.4603439,0.2711791,-0.0163026,-2.2059869,2.9252812,29,0.4482759,0.5517241,0.0000000,0.0934597,-0.5021026,0.4922148,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,DJF,G6solar - SSP5-8.5,-1.2209382,-1.6238680,1.6036233,0.2977854,-0.7613622,-4.6808378,1.9513125,29,0.2068966,0.7931034,0.0000000,0.2220809,-2.0165718,-0.5506850,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,DJF,G6sulfur - SSP5-8.5,-1.1971308,-1.1180966,1.3521999,0.2510972,-0.8853209,-3.5281367,1.6345809,29,0.1379310,0.8620690,0.0000000,0.2464520,-1.8286442,-0.5740917,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,-0.2938709,-0.1775387,0.6676094,0.1218882,-0.4401838,-1.6439204,0.6117653,30,0.4000000,0.6000000,0.0000000,0.0178396,-0.4688281,-0.0979926,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6solar - SSP5-8.5,-1.7078874,-1.9006864,0.8429781,0.1539060,-2.0260164,-3.4048241,-0.2202310,30,0.0000000,1.0000000,0.0000000,0.2928646,-2.0983251,-1.3366126,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6sulfur - SSP5-8.5,-1.4140165,-1.4443175,0.8590980,0.1568491,-1.6459316,-2.9154843,0.4433481,30,0.0666667,0.9333333,0.0000000,0.2185646,-1.7639290,-1.0399173,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,MAM,G6solar - G6sulfur,0.1118593,0.2758991,1.0913492,0.1992522,0.1024964,-2.3693605,2.0014693,30,0.5666667,0.4333333,0.0000000,-0.1064990,-0.1736355,0.3859234,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,MAM,G6solar - SSP5-8.5,-1.4961419,-1.6112500,1.1282646,0.2059920,-1.3260559,-3.7732210,0.7426726,30,0.1000000,0.9000000,0.0000000,0.3185612,-2.0507767,-0.9666467,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,MAM,G6sulfur - SSP5-8.5,-1.6080012,-1.6053676,1.3049348,0.2382474,-1.2322464,-4.5765897,0.7707356,30,0.1666667,0.8333333,0.0000000,-0.0161500,-2.0288343,-1.2148782,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,SON,G6solar - G6sulfur,-0.0702791,0.1476226,1.1924935,0.2177185,-0.0589346,-2.1395126,1.7820023,30,0.5666667,0.4333333,0.0000000,0.1536585,-0.5890539,0.3984861,includes_zero,True,10000,5
