domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
gulf_coast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0420990,-0.0418155,0.1021249,-0.1663945,0.0816294,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.3972113,-0.2410464,0.4411527,-1.0313586,-0.0753938,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,-2.0683550,-2.0068680,0.4271181,-2.6224196,-1.6372643,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.6711437,-1.6798308,0.6927268,-2.5025399,-0.8223731,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,pr_mean,G6solar - G6sulfur,mm/day,0.0447624,0.0357299,0.2070516,-0.1991911,0.3067811,4,3,1,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0582050,-0.0868759,0.2155383,-0.2544253,0.1953570,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.1029674,-0.1406708,0.2046614,-0.2783047,0.1477766,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.6916696,-0.3315528,0.9240420,-2.0520695,-0.0515034,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,-1.7184391,-1.7385460,0.4592948,-2.2131093,-1.1835551,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.0267695,-1.4748274,1.2899969,-2.0259376,0.8685144,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.1291241,0.1626269,0.2822500,-0.1854339,0.3766763,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,0.1699400,0.1785013,0.1530433,0.0033664,0.3193909,4,4,0,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,0.0408159,0.0828801,0.3279529,-0.3548641,0.3523675,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.3725135,-0.4033393,0.1234199,-0.4833709,-0.2000043,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,-2.3562453,-2.2558968,0.5680399,-3.1297090,-1.7834786,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.9837319,-1.8273243,0.6819102,-2.9297047,-1.3505742,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.2007748,-0.1816913,0.2349520,-0.5058509,0.0661344,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,0.0133006,0.0430422,0.2144593,-0.2429997,0.2101176,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,0.2140754,0.0924014,0.3408689,-0.0444698,0.7159686,4,3,1,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2348723,-0.0404355,0.5483851,-1.0152947,0.1566766,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,-2.1688274,-2.2568323,0.2640214,-2.3637105,-1.7979346,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.9339551,-2.0345022,0.5783498,-2.5203871,-1.1464289,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0522089,0.0304389,0.1554749,-0.0922251,0.2401829,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
